branch	length@orginal	lengthAfterBBL	factor	Diff	logL@orginal	logLAfterBBL	logL_Diff
N142	0.07988	0.003815	0.04775	-0.07607	-1.187e+05	-1.185e+05	118.1
t637000257_Shewanella_frigidimarina	0.1406	0.01276	0.0907	-0.1279	-1.187e+05	-1.185e+05	184.9
t637000256_Shewanella_denitrificans	0.1516	0.03421	0.2256	-0.1174	-1.186e+05	-1.185e+05	115.9
N143	0.1062	0.009653	0.09085	-0.0966	-1.187e+05	-1.185e+05	142.7
t637000258_Shewanella_oneidensis	0.07496	0.01536	0.2048	-0.0596	-1.186e+05	-1.185e+05	72.5
t641228507_Shewanella_baltica	0.08997	0.006622	0.0736	-0.08335	-1.187e+05	-1.185e+05	132.1
N144	0.09344	0.02221	0.2377	-0.07123	-1.186e+05	-1.185e+05	45.66
t639633052_Psychromonas_ingrahamii	0.7918	0.06897	0.0871	-0.7228	-1.189e+05	-1.185e+05	364.6
N145	0.05688	0.02285	0.4017	-0.03403	-1.185e+05	-1.185e+05	14.96
N146	0.1122	0.009144	0.08149	-0.1031	-1.187e+05	-1.185e+05	152.9
N147	0.2634	0.01586	0.06022	-0.2475	-1.189e+05	-1.185e+05	331.8
t638341150_Photobacterium_profundum	0.2825	0.02707	0.09582	-0.2554	-1.189e+05	-1.185e+05	370.9
N148	0.2274	0.008608	0.03785	-0.2188	-1.189e+05	-1.185e+05	342.4
N149	0.08975	0.003885	0.04328	-0.08587	-1.187e+05	-1.185e+05	160.2
t637000335_Vibrio_parahaemolyticus	0.1366	0.01756	0.1286	-0.119	-1.187e+05	-1.185e+05	190.9
t649633107_Vibrio_vulnificus	0.1493	0.01405	0.09412	-0.1352	-1.188e+05	-1.185e+05	223.2
t643692054_Vibrio_cholerae	0.3579	0.03572	0.09981	-0.3222	-1.189e+05	-1.185e+05	341.2
N150	0.1806	0.02113	0.117	-0.1595	-1.187e+05	-1.185e+05	162.8
N151	0.5869	0.102	0.1738	-0.4849	-1.187e+05	-1.185e+05	170.2
N152	0.03692	0.005641	0.1528	-0.03128	-1.186e+05	-1.185e+05	22.02
t2512564074_Pasteurella_multocida	0.3637	0.02177	0.05987	-0.3419	-1.188e+05	-1.185e+05	277.4
t650377945_Haemophilus_influenzae	0.2982	0.06103	0.2047	-0.2371	-1.187e+05	-1.185e+05	118.5
N153	0.4673	0.01975	0.04226	-0.4475	-1.189e+05	-1.185e+05	328.7
t637000124_Haemophilus_ducreyi	0.2087	0.1066	0.5109	-0.1021	-1.186e+05	-1.185e+05	20.71
t641522604_Actinobacillus_pleuropneumoniae	0.08765	0.004614	0.05264	-0.08304	-1.186e+05	-1.185e+05	73.5
N154	0.2902	0.02674	0.09215	-0.2635	-1.188e+05	-1.185e+05	268.6
t637000207_Photorhabdus_luminescens	0.2828	0.0704	0.2489	-0.2124	-1.187e+05	-1.185e+05	173.6
N155	0.1187	0.006097	0.05139	-0.1126	-1.187e+05	-1.185e+05	152.7
N156	0.1392	0.01145	0.08224	-0.1278	-1.188e+05	-1.185e+05	223
t640069335_Yersinia_enterocolitica	0.08531	0.02358	0.2765	-0.06172	-1.186e+05	-1.185e+05	94.61
N157	0.07643	0.02875	0.3761	-0.04768	-1.186e+05	-1.185e+05	47
t646862351_Yersinia_pestis	0.01969	0.008443	0.4288	-0.01125	-1.185e+05	-1.185e+05	15.17
t637000355_Yersinia_pseudotuberculosis	0.001131	0.001342	1.186	0.0002104	-1.185e+05	-1.185e+05	-0.05844
N158	0.1261	0.003148	0.02496	-0.123	-1.188e+05	-1.185e+05	220.8
N159	0.3179	0.02716	0.08544	-0.2907	-1.19e+05	-1.185e+05	460.8
N160	0.07508	0.02357	0.3139	-0.05151	-1.186e+05	-1.185e+05	106.2
N161	0.001572	0.004929	3.136	0.003357	-1.185e+05	-1.185e+05	-3.212
N162	0.01008	0.00493	0.4891	-0.00515	-1.185e+05	-1.185e+05	7.896
t640427143_Shigella_sonnei	0.01482	0.01161	0.7834	-0.003209	-1.185e+05	-1.185e+05	3.91
N163	0.01756	0.009828	0.5596	-0.007735	-1.185e+05	-1.185e+05	8.805
t640427142_Shigella_dysenteriae	0.02664	0.04131	1.551	0.01467	-1.185e+05	-1.185e+05	5.365
t641522650_Shigella_boydii	0.01542	0.00955	0.6194	-0.005868	-1.185e+05	-1.185e+05	5.889
t638341089_Escherichia_coli	0.03247	0.01795	0.5527	-0.01452	-1.186e+05	-1.185e+05	25.9
t637000265_Shigella_flexneri	0.03261	0.02054	0.6298	-0.01207	-1.185e+05	-1.185e+05	13.03
t642555155_Salmonella_enterica	0.1951	0.02694	0.1381	-0.1681	-1.188e+05	-1.185e+05	314.8
N164	0.2287	0.1391	0.6085	-0.08953	-1.185e+05	-1.185e+05	17.27
N165	0.7238	0.1202	0.166	-0.6036	-1.186e+05	-1.185e+05	31.89
t650377917_Buchnera_aphidicola	0.9401	0.3048	0.3242	-0.6353	-1.185e+05	-1.185e+05	11.89
t637000338_Wigglesworthia_glossinidia	1.011	0.224	0.2216	-0.7866	-1.186e+05	-1.185e+05	42.24
t637000270_Sodalis_glossinidius	0.09354	0.0008313	0.008887	-0.09271	-1.186e+05	-1.185e+05	37.85
t639633004_Aeromonas_hydrophila	0.5598	0.0411	0.07342	-0.5187	-1.19e+05	-1.185e+05	474.9
N166	0.06179	0.01643	0.2659	-0.04536	-1.186e+05	-1.185e+05	23.82
t637000136_Idiomarina_loihiensis	0.8045	0.1077	0.1339	-0.6968	-1.188e+05	-1.185e+05	227.2
N167	0.05152	0.0008682	0.01685	-0.05065	-1.186e+05	-1.185e+05	44.15
t637000216_Pseudoalteromonas_atlantica	0.591	0.05692	0.0963	-0.5341	-1.189e+05	-1.185e+05	357.7
t637000217_Pseudoalteromonas_haloplanktis	0.7026	0.05791	0.08243	-0.6447	-1.189e+05	-1.185e+05	368.5
N168	0.1167	0.005019	0.04301	-0.1117	-1.188e+05	-1.185e+05	227.1
N169	0.08653	0.02333	0.2696	-0.0632	-1.186e+05	-1.185e+05	55.66
N170	0.6482	0.0412	0.06356	-0.607	-1.189e+05	-1.185e+05	360.2
t650377902_Acinetobacter_baumannii	0.6535	0.05438	0.08321	-0.5991	-1.189e+05	-1.185e+05	371.9
t637000227_Psychrobacter_cryohalolentis	0.8536	0.057	0.06677	-0.7966	-1.189e+05	-1.185e+05	358
t637000004_Alcanivorax_borkumensis	0.826	0.09421	0.1141	-0.7317	-1.188e+05	-1.185e+05	297.6
N171	0.07103	0.001209	0.01702	-0.06982	-1.187e+05	-1.185e+05	162.6
N172	0.1299	0.002103	0.01619	-0.1278	-1.188e+05	-1.185e+05	273.8
t637000128_Hahella_chejuensis	0.7337	0.07573	0.1032	-0.658	-1.189e+05	-1.185e+05	409.2
N173	0.07291	0.01104	0.1514	-0.06187	-1.186e+05	-1.185e+05	107.2
t637000075_Chromohalobacter_salexigens	0.759	0.09901	0.1304	-0.66	-1.189e+05	-1.185e+05	361.7
N174	0.5566	0.04025	0.07232	-0.5163	-1.191e+05	-1.185e+05	583.1
N175	0.1676	0.01023	0.06106	-0.1573	-1.189e+05	-1.185e+05	382.2
N176	0.115	0.02151	0.187	-0.0935	-1.187e+05	-1.185e+05	179.3
t637000219_Pseudomonas_entomophila	0.05025	0.01552	0.3089	-0.03473	-1.186e+05	-1.185e+05	49.32
t650716076_Pseudomonas_putida	0.08846	0.02137	0.2416	-0.06709	-1.187e+05	-1.185e+05	124.6
N177	0.3907	0.002043	0.00523	-0.3887	-1.194e+05	-1.185e+05	825.2
t2505313072_Pseudomonas_syringae	0.02826	0.05615	1.987	0.02789	-1.186e+05	-1.185e+05	17.89
t2511231156_Pseudomonas_fluorescens	0.2454	0.01935	0.07885	-0.226	-1.19e+05	-1.185e+05	514.8
t2511231165_Pseudomonas_aeruginosa	0.4183	0.0256	0.06119	-0.3927	-1.192e+05	-1.185e+05	702.4
t637000249_Saccharophagus_degradans	0.9187	0.1434	0.1561	-0.7753	-1.188e+05	-1.185e+05	228.3
N178	0.2423	0.1215	0.5014	-0.1208	-1.185e+05	-1.185e+05	4.516
N179	0.1196	0.03137	0.2623	-0.08821	-1.185e+05	-1.185e+05	13.89
t646564542_Legionella_pneumophila	1.111	0.05391	0.04851	-1.057	-1.187e+05	-1.185e+05	207.1
t643348531_Coxiella_burnetii	0.9875	0.1236	0.1252	-0.8639	-1.187e+05	-1.185e+05	131.2
t637000114_Francisella_tularensis	1.93	0.186	0.09639	-1.744	-1.186e+05	-1.185e+05	99.21
N180	0.05907	0.01506	0.255	-0.04401	-1.186e+05	-1.185e+05	24.23
N181	0.06712	0.05024	0.7485	-0.01688	-1.185e+05	-1.185e+05	-1.503
t647533188_Nitrosococcus_oceani	0.8927	0.08182	0.09166	-0.8108	-1.188e+05	-1.185e+05	245.9
t639633026_Halorhodospira_halophila	1.2	0.1106	0.09211	-1.09	-1.188e+05	-1.185e+05	257.9
N182	0.1846	0.0001173	0.0006356	-0.1845	-1.187e+05	-1.185e+05	180.1
t637000166_Methylococcus_capsulatus	1.19	0.133	0.1118	-1.057	-1.188e+05	-1.185e+05	243.8
N183	1.708	0.08796	0.05149	-1.621	-1.189e+05	-1.185e+05	368.7
N184	0.01818	0.01389	0.7641	-0.004289	-1.185e+05	-1.185e+05	2.08
N185	0.01325	0.003352	0.253	-0.009895	-1.185e+05	-1.185e+05	16.42
t637000342_Xanthomonas_axonopodis	0.01263	0.00413	0.327	-0.008499	-1.185e+05	-1.185e+05	10.37
t637000345_Xanthomonas_campestris	0.01726	0.007229	0.4188	-0.01003	-1.185e+05	-1.185e+05	14.66
t642555170_Xanthomonas_oryzae	0.04316	0.02491	0.5771	-0.01826	-1.185e+05	-1.185e+05	12.2
t637000349_Xylella_fastidiosa	0.5072	0.1284	0.2531	-0.3788	-1.186e+05	-1.185e+05	114.7
N186	0.3461	0.007064	0.02041	-0.339	-1.191e+05	-1.185e+05	591.2
N187	0.2874	0.02876	0.1	-0.2587	-1.187e+05	-1.185e+05	147.2
t637000074_Chromobacterium_violaceum	0.5208	0.06984	0.1341	-0.451	-1.188e+05	-1.185e+05	245.4
N188	1.01	0.1725	0.1708	-0.8374	-1.187e+05	-1.185e+05	130.5
t642555143_Neisseria_gonorrhoeae	0.03721	0.01378	0.3704	-0.02343	-1.185e+05	-1.185e+05	9.434
t637000189_Neisseria_meningitidis	0.02507	0.008641	0.3446	-0.01643	-1.185e+05	-1.185e+05	7.781
N189	0.08108	0.001241	0.01531	-0.07984	-1.187e+05	-1.185e+05	179
N190	0.1157	0.01085	0.09379	-0.1048	-1.188e+05	-1.185e+05	224.8
t637000088_Dechloromonas_aromatica	0.6893	0.1051	0.1524	-0.5843	-1.188e+05	-1.185e+05	308.4
N191	0.2322	0.0156	0.0672	-0.2166	-1.19e+05	-1.185e+05	438.6
N192	0.07006	0.008471	0.1209	-0.06159	-1.187e+05	-1.185e+05	151.1
N193	0.3721	0.016	0.04301	-0.3561	-1.191e+05	-1.185e+05	603.8
t640069319_Methylibium_petroleiphilum	0.4063	0.07675	0.1889	-0.3295	-1.189e+05	-1.185e+05	317.7
N194	0.2025	0.009961	0.04919	-0.1925	-1.189e+05	-1.185e+05	404.5
N195	0.05082	0.01173	0.2309	-0.03908	-1.186e+05	-1.185e+05	46.17
t637000235_Rhodoferax_ferrireducens	0.2683	0.05507	0.2052	-0.2132	-1.188e+05	-1.185e+05	255
t639633051_Polaromonas_naphthalenivorans	0.2976	0.04521	0.1519	-0.2524	-1.189e+05	-1.185e+05	369.2
N196	0.1258	0.009361	0.07443	-0.1164	-1.188e+05	-1.185e+05	223.2
t639633065_Verminephrobacter_eiseniae	0.2598	0.08936	0.344	-0.1704	-1.187e+05	-1.185e+05	210.3
t639633002_Acidovorax_avenae	0.243	0.05123	0.2108	-0.1918	-1.187e+05	-1.185e+05	216.3
N197	0.2316	0.01555	0.06713	-0.2161	-1.19e+05	-1.185e+05	469.9
t651053062_Ralstonia_solanacearum	0.4433	0.04435	0.1	-0.399	-1.19e+05	-1.185e+05	487.9
N198	0.2899	0.0237	0.08174	-0.2662	-1.191e+05	-1.185e+05	564.7
t637000053_Burkholderia_xenovorans	0.2661	0.04332	0.1628	-0.2228	-1.19e+05	-1.185e+05	515.9
N199	0.09247	0.0129	0.1395	-0.07958	-1.187e+05	-1.185e+05	175.2
N200	0.1315	0.01596	0.1213	-0.1155	-1.188e+05	-1.185e+05	299.3
t637000046_Burkholderia_cenocepacia	0.04557	0.01109	0.2434	-0.03448	-1.186e+05	-1.185e+05	91.03
t637000047_Burkholderia_cepacia	0.06097	0.01194	0.1958	-0.04903	-1.187e+05	-1.185e+05	124.3
N201	0.1028	0.01924	0.1872	-0.08352	-1.187e+05	-1.185e+05	186.5
t641736124_Burkholderia_thailandensis	0.1002	0.009703	0.09679	-0.09054	-1.188e+05	-1.185e+05	244
N202	0.06629	0.01197	0.1806	-0.05432	-1.187e+05	-1.185e+05	149.2
t638341031_Burkholderia_mallei	0.01273	0.01568	1.231	0.002944	-1.185e+05	-1.185e+05	-0.5891
t640069306_Burkholderia_pseudomallei	0.02812	1.002e-07	3.565e-06	-0.02812	-1.186e+05	-1.185e+05	114.9
N203	0.843	0.09245	0.1097	-0.7505	-1.189e+05	-1.185e+05	417.3
N204	0.01688	0.002304	0.1365	-0.01458	-1.186e+05	-1.185e+05	23.96
t637000032_Bordetella_bronchiseptica	0.01071	0.009526	0.8893	-0.001186	-1.185e+05	-1.185e+05	1.036
t637000033_Bordetella_parapertussis	0.004953	0.00599	1.209	0.001037	-1.185e+05	-1.185e+05	0.2833
t651053009_Bordetella_pertussis	0.008862	0.0262	2.957	0.01734	-1.186e+05	-1.185e+05	24.63
N205	0.09458	0.07114	0.7521	-0.02344	-1.185e+05	-1.185e+05	-4.937
N206	0.07381	0.01343	0.1819	-0.06038	-1.186e+05	-1.185e+05	19.46
t637000324_Thiobacillus_denitrificans	0.6148	0.05011	0.08151	-0.5647	-1.188e+05	-1.185e+05	242.4
t637000165_Methylobacillus_flagellatus	0.6497	0.08933	0.1375	-0.5604	-1.187e+05	-1.185e+05	189.4
N207	0.4116	0.0755	0.1834	-0.3361	-1.186e+05	-1.185e+05	115.8
t637000197_Nitrosospira_multiformis	0.2941	0.02014	0.06847	-0.274	-1.187e+05	-1.185e+05	197.5
N208	0.4409	0.02069	0.04692	-0.4203	-1.188e+05	-1.185e+05	268.7
t637000195_Nitrosomonas_europaea	0.1045	0.006653	0.06366	-0.09784	-1.186e+05	-1.185e+05	103.8
t637000196_Nitrosomonas_eutropha	0.1514	0.01536	0.1015	-0.136	-1.187e+05	-1.185e+05	131.6
N209	0.7898	0.01864	0.02359	-0.7712	-1.192e+05	-1.185e+05	637.9
N210	0.5651	0.3867	0.6843	-0.1784	-1.185e+05	-1.185e+05	-7.982
N211	1.063	0.1797	0.1691	-0.883	-1.186e+05	-1.185e+05	64.9
t640753044_Rickettsia_bellii	0.1293	0.00237	0.01834	-0.1269	-1.187e+05	-1.185e+05	136.1
N212	0.09832	1e-07	1.017e-06	-0.09832	-1.186e+05	-1.185e+05	111.2
N213	0.1098	0.008059	0.07341	-0.1017	-1.186e+05	-1.185e+05	93.63
t637000245_Rickettsia_prowazekii	0.03712	0.00246	0.06627	-0.03466	-1.186e+05	-1.185e+05	41.19
t2512564075_Rickettsia_typhi	0.1996	0.004001	0.02004	-0.1956	-1.187e+05	-1.185e+05	174
N214	0.01179	0.0005599	0.0475	-0.01123	-1.185e+05	-1.185e+05	14.28
t637000244_Rickettsia_felis	0.04052	0.003302	0.0815	-0.03721	-1.186e+05	-1.185e+05	40.6
t637000243_Rickettsia_conorii	0.05183	0.0057	0.11	-0.04613	-1.186e+05	-1.185e+05	48.04
N215	0.3636	0.09917	0.2728	-0.2644	-1.186e+05	-1.185e+05	23.01
t637000191_Neorickettsia_sennetsu	1.578	0.01987	0.0126	-1.558	-1.189e+05	-1.185e+05	328.3
N216	0.6638	8.948e-05	0.0001348	-0.6637	-1.188e+05	-1.185e+05	256.5
N217	0.4655	0.00211	0.004532	-0.4634	-1.188e+05	-1.185e+05	274.8
t637000009_Anaplasma_phagocytophilum	0.4404	0.008773	0.01992	-0.4316	-1.188e+05	-1.185e+05	250.6
t645058829_Anaplasma_marginale	0.3549	0.009472	0.02669	-0.3454	-1.187e+05	-1.185e+05	194.3
N218	0.2707	0.009297	0.03434	-0.2614	-1.187e+05	-1.185e+05	172.4
N219	0.1045	0.0007115	0.006805	-0.1038	-1.186e+05	-1.185e+05	116.9
t637000097_Ehrlichia_canis	0.1116	1.007e-07	9.023e-07	-0.1116	-1.187e+05	-1.185e+05	130.8
t638341079_Ehrlichia_chaffeensis	0.1087	0.0006862	0.006311	-0.108	-1.187e+05	-1.185e+05	122.4
t639279308_Ehrlichia_ruminantium	0.1943	0.0006697	0.003447	-0.1936	-1.187e+05	-1.185e+05	185.6
N220	0.2144	0.004324	0.02017	-0.2101	-1.189e+05	-1.185e+05	347.5
N221	0.5916	0.08527	0.1441	-0.5064	-1.187e+05	-1.185e+05	215.4
N222	0.2068	0.01215	0.05875	-0.1946	-1.186e+05	-1.185e+05	113.1
N223	0.1816	0.002361	0.013	-0.1792	-1.187e+05	-1.185e+05	168.9
t637000103_Erythrobacter_litoralis	0.4619	0.05196	0.1125	-0.4099	-1.188e+05	-1.185e+05	234.9
t640427126_Novosphingobium_aromaticivorans	0.3435	0.06186	0.1801	-0.2816	-1.187e+05	-1.185e+05	189.8
t637000271_Sphingopyxis_alaskensis	0.3775	0.03938	0.1043	-0.3381	-1.188e+05	-1.185e+05	225.8
t637000356_Zymomonas_mobilis	0.8188	0.1677	0.2049	-0.651	-1.186e+05	-1.185e+05	86.96
N224	0.09199	0.0003365	0.003658	-0.09166	-1.187e+05	-1.185e+05	185.1
N225	0.1112	0.007744	0.06962	-0.1035	-1.186e+05	-1.185e+05	79.6
N226	0.2854	0.03448	0.1208	-0.2509	-1.187e+05	-1.185e+05	194.3
t637000155_Magnetospirillum_magneticum	0.5148	0.0901	0.175	-0.4247	-1.188e+05	-1.185e+05	230.7
t637000241_Rhodospirillum_rubrum	0.5917	0.06121	0.1035	-0.5305	-1.188e+05	-1.185e+05	292.7
t637000122_Gluconobacter_oxydans	1.126	0.21	0.1865	-0.9161	-1.187e+05	-1.185e+05	133.7
N227	0.09386	0.02529	0.2694	-0.06858	-1.187e+05	-1.185e+05	145.7
N228	0.07277	3.314e-05	0.0004554	-0.07274	-1.187e+05	-1.185e+05	176.6
N229	0.3608	0.08914	0.247	-0.2717	-1.187e+05	-1.185e+05	147.1
t637000135_Hyphomonas_neptunium	0.7993	0.04134	0.05172	-0.758	-1.189e+05	-1.185e+05	334.9
t637000157_Maricaulis_maris	0.7284	0.08109	0.1113	-0.6473	-1.188e+05	-1.185e+05	237.8
N230	0.5982	0.02347	0.03923	-0.5748	-1.192e+05	-1.185e+05	707.9
N231	0.06852	0.0005997	0.008753	-0.06792	-1.187e+05	-1.185e+05	145.3
t640427138_Rhodobacter_sphaeroides	0.3329	0.0588	0.1766	-0.2741	-1.189e+05	-1.185e+05	339.9
t2511231195_Paracoccus_denitrificans	0.745	0.05551	0.07451	-0.6894	-1.192e+05	-1.185e+05	633.1
t639633056_Roseobacter_denitrificans	0.6432	0.05955	0.09259	-0.5836	-1.191e+05	-1.185e+05	569.4
N232	0.2764	0.008009	0.02898	-0.2683	-1.191e+05	-1.185e+05	610.5
N233	0.387	0.02214	0.0572	-0.3649	-1.191e+05	-1.185e+05	602.2
N234	0.06921	5.585e-06	8.069e-05	-0.06921	-1.187e+05	-1.185e+05	157.6
t2512875024_Mesorhizobium_loti	0.6737	0.03931	0.05835	-0.6344	-1.193e+05	-1.185e+05	748.2
N235	0.1287	0.07479	0.5811	-0.05392	-1.186e+05	-1.185e+05	34.78
N236	0.4919	0.2869	0.5832	-0.205	-1.185e+05	-1.185e+05	12.08
N237	0.1014	0.001293	0.01275	-0.1001	-1.186e+05	-1.185e+05	85.89
t637000027_Bartonella_henselae	0.08988	0.009175	0.1021	-0.0807	-1.186e+05	-1.185e+05	68.67
t637000028_Bartonella_quintana	0.09089	0.003423	0.03766	-0.08747	-1.186e+05	-1.185e+05	88.88
t639633009_Bartonella_bacilliformis	0.2132	0.01321	0.06196	-0.2	-1.187e+05	-1.185e+05	135.9
N238	0.2362	0.003691	0.01562	-0.2325	-1.188e+05	-1.185e+05	237.6
N239	0.006325	1.008e-07	1.593e-05	-0.006325	-1.185e+05	-1.185e+05	14.2
t637000040_Brucella_melitensis	0.01314	0.004326	0.3293	-0.008812	-1.185e+05	-1.185e+05	13.92
t645058845_Brucella_suis	0.01103	0.004815	0.4366	-0.006214	-1.185e+05	-1.185e+05	6.531
t645058842_Brucella_abortus	0.006687	0.0107	1.6	0.004013	-1.185e+05	-1.185e+05	2.341
N240	0.2542	0.008841	0.03478	-0.2453	-1.191e+05	-1.185e+05	569.3
t650716086_Sinorhizobium_meliloti	0.2348	0.02443	0.1041	-0.2104	-1.19e+05	-1.185e+05	469.9
N241	0.05706	0.008349	0.1463	-0.04871	-1.186e+05	-1.185e+05	102.5
t639279302_Agrobacterium_tumefaciens	0.2679	0.04056	0.1514	-0.2273	-1.189e+05	-1.185e+05	384.2
N242	0.205	0.01057	0.05158	-0.1944	-1.19e+05	-1.185e+05	480.4
t642979300_Rhizobium_etli	0.3419	0.01515	0.04431	-0.3267	-1.192e+05	-1.185e+05	716.1
t644736401_Rhizobium_leguminosarum	0.04803	0.0154	0.3207	-0.03263	-1.186e+05	-1.185e+05	70.35
N243	0.5606	0.0286	0.05101	-0.532	-1.192e+05	-1.185e+05	632.7
N244	0.1707	0.09166	0.5369	-0.07906	-1.186e+05	-1.185e+05	29.95
t637000192_Nitrobacter_hamburgensis	0.0619	0.00582	0.09403	-0.05608	-1.186e+05	-1.185e+05	61.33
t637000193_Nitrobacter_winogradskyi	0.1111	0.0294	0.2646	-0.08172	-1.186e+05	-1.185e+05	66.88
N245	0.03558	0.007942	0.2232	-0.02764	-1.186e+05	-1.185e+05	43.14
t649633091_Rhodopseudomonas_palustris	0.2517	0.05968	0.2371	-0.192	-1.188e+05	-1.185e+05	256.5
t637000038_Bradyrhizobium_japonicum	0.2446	0.03144	0.1285	-0.2131	-1.189e+05	-1.185e+05	398.1
